university,city,state,city_population_density,city_population
Golden West College,Huntington Beach,CA,7501,200652
Green River College,Auburn,WA,2616,77472
Grossmont College,El Cajon,CA,7191,103768
Irvine Valley College,Irvine,CA,4025,266122
Kapiolani Community College,Honolulu,HI,5791,345510
Lone Star College System,The Woodlands,TX,2644,114532
Massachusetts College of Art and Design,Boston,MA,13943,673184
Midwestern State University,Wichita Falls,TX,1452,104724
Montgomery College,Rockville,MD,4955,66940
Morgan State University,Baltimore,MD,7594,614664
Mt. San Antonio College,Walnut,CA,3145,27830
Northern Virginia Community College,Annandale,VA,5517,42240
Northwest Missouri State University,Maryville,MO,1668,10847
Oakland Community College,Royal Oak,MI,5009,59006
Orange Coast College,Costa Mesa,CA,7209,112822
Pasadena City College,Pasadena,CA,6185,142059
Portland Community College,Portland,OR,4795,639863
San Francisco State University,San Francisco,CA,18581,870887
San Jose State University,San Jose,CA,5808,1025350
Santa Barbara City College,Santa Barbara,CA,4722,91930
Santa Monica College,Santa Monica,CA,10996,92478
Seattle Central College,Seattle,WA,8391,704352
Shoreline Community College,Shoreline,WA,4741,55333
South Dakota School of Mines and Technology,Rapid City,SD,1336,74048
Southeast Missouri State University,Cape Girardeau,MO,1352,39820
Southern Utah University,Cedar City,UT,1018,37206
The Pennsylvania State University,University Park,PA,15306,12764
Troy University,,AL,623,17609
University of Central Missouri,Warrensburg,MO,2066,19638
University of Central Oklahoma,Edmond,OK,1077,91191
University of Nebraska Omaha,Omaha,NE,3517,446970
University of North Alabama,Florence,AL,715,1524
University of North Dakota,Grand Forks,ND,2881,57339
University of North Texas Health Science Center,Fort Worth,TX,2513,854113
University of Science and Arts of Oklahoma,Chickasha,OK,715,15786
University of Toledo,Toledo,OH,3452,278508
Valencia College,Orlando,FL,2707,277173
Wichita State University,Wichita,KS,2448,389902
University of Denver,Denver,CO,4530,693060
Boston College,Newton,MA,4991,89045
The New School,New York,NY,28211,8537673
American University,Washington,DC,11158,681170
Howard University,Washington D.C.,DC,10984,712816
Fordham University,New York,NY,28211,8537673
Loyola University Chicago,Chicago,IL,11883,2704958
Syracuse University,Syracuse,NY,5726,143378
Northeastern University,Boston,MA,13943,673184
Drexel University,Philadelphia,PA,11692,1567872
George Washington University,Washington,DC,11158,681170
Wake Forest University,Winston-Salem,NC,1829,242203
Clark University,Worcester,MA,4937,184508
Clarkson University,Potsdam,NY,1645,15322
Stevens Institute of Technology,Hoboken,NJ,42484,54379
University of Tulsa,Tulsa,OK,2049,403090
Smith College,Northampton,MA,863,29311
Illinois Institute of Technology,Chicago,IL,11883,2704958
Worcester Polytechnic Institute,Worcester,MA,4937,184508
