SCHOOL,LOCATION,INTERNATIONAL,Type
University of Nebraska -- Lincoln,"Lincoln, NE",5%,National
University of Nebraska Omaha,"Omaha, NE",5%,National
University of North Carolina at Chapel Hill,"Chapel Hill, NC",5%,National
University of North Dakota,"Grand Forks, ND",5%,National
University of North Texas,"Denton, TX",5%,National
University of St. Thomas (TX),"Houston, TX",5%,National
Virginia Tech,"Blacksburg, VA",5%,National
Wichita State University,"Wichita, KS",5%,National
William & Mary,"Williamsburg, VA",5%,National
Soka University of America,"Aliso Viejo, CA",49%,Liberal Arts
Mount Holyoke College,"South Hadley, MA",24%,Liberal Arts
Principia College,"Elsah, IL",24%,Liberal Arts
Bethany Lutheran College,"Mankato, MN",20%,Liberal Arts
Earlham College,"Richmond, IN",20%,Liberal Arts
Grinnell College,"Grinnell, IA",20%,Liberal Arts
Bennington College,"Bennington, VT",18%,Liberal Arts
Franklin & Marshall College,"Lancaster, PA",18%,Liberal Arts
Denison University,"Granville, OH",17%,Liberal Arts
DePauw University,"Greencastle, IN",17%,Liberal Arts
Knox College,"Galesburg, IL",16%,Liberal Arts
Lake Forest College,"Lake Forest, IL",16%,Liberal Arts
St. John's College (NM),"Santa Fe, NM",16%,Liberal Arts
Swarthmore College,"Swarthmore, PA",16%,Liberal Arts
Bryn Mawr College,"Bryn Mawr, PA",15%,Liberal Arts
Claremont McKenna College,"Claremont, CA",15%,Liberal Arts
College of Wooster,"Wooster, OH",15%,Liberal Arts
St. John's College (MD),"Annapolis, MD",15%,Liberal Arts
Beloit College,"Beloit, WI",14%,Liberal Arts
Smith College,"Northampton, MA",14%,Liberal Arts
Wellesley College,"Wellesley, MA",14%,Liberal Arts
Augustana College,"Rock Island, IL",13%,Liberal Arts
Barnard College,"New York, NY",13%,Liberal Arts
Macalester College,"St. Paul, MN",13%,Liberal Arts
Trinity College,"Hartford, CT",13%,Liberal Arts
Bard College,"Annandale on Hudson, NY",12%,Liberal Arts
Fisk University,"Nashville, TN",12%,Liberal Arts
Lawrence University,"Appleton, WI",12%,Liberal Arts
Dickinson College,"Carlisle, PA",11%,Liberal Arts
Drew University,"Madison, NJ",11%,Liberal Arts
Haverford College,"Haverford, PA",11%,Liberal Arts
Middlebury College,"Middlebury, VT",11%,Liberal Arts
Oberlin College and Conservatory,"Oberlin, OH",11%,Liberal Arts
Pomona College,"Claremont, CA",11%,Liberal Arts
Wesleyan University,"Middletown, CT",11%,Liberal Arts
Amherst College,"Amherst, MA",10%,Liberal Arts
Carleton College,"Northfield, MN",10%,Liberal Arts
Kenyon College,"Gambier, OH",10%,Liberal Arts
Luther College,"Decorah, IA",10%,Liberal Arts
Oglethorpe University,"Atlanta, GA",10%,Liberal Arts
St. Olaf College,"Northfield, MN",10%,Liberal Arts
Union College (NY),"Schenectady, NY",10%,Liberal Arts
Whitman College,"Walla Walla, WA",10%,Liberal Arts
Bates College,"Lewiston, ME",9%,Liberal Arts
Colby College,"Waterville, ME",9%,Liberal Arts
Colgate University,"Hamilton, NY",9%,Liberal Arts
Connecticut College,"New London, CT",9%,Liberal Arts
Harvey Mudd College,"Claremont, CA",9%,Liberal Arts
Hollins University,"Roanoke, VA",9%,Liberal Arts
Skidmore College,"Saratoga Springs, NY",9%,Liberal Arts
St. Lawrence University,"Canton, NY",9%,Liberal Arts
University of Richmond,"Univ. of Richmond, VA",9%,Liberal Arts
University of Science and Arts of Oklahoma,"Chickasha, OK",9%,Liberal Arts
