name,city,state,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
A T Still University of Health Sciences,Kirksville,MO,25,18,2,7,33
Aaniiih Nakoda College,Harlem,MT,33,9,1,1,43
Abilene Christian University,Abilene,TX,17,14,2,4,12
Abraham Baldwin Agricultural College,Tifton,GA,23,10,1,2,32
Abraham Lincoln University,Glendale,CA,31,6,3,6,12
Academy College,Bloomington,MN,28,6,3,2,13
Academy for Five Element Acupuncture,Gainesville,FL,26,18,2,7,12
Academy for Jewish Religion-California,Los Angeles,CA,24,18,2,7,11
Academy for Nursing and Health Occupations,West Palm Beach,FL,10,2,2,1,21
Academy of Art University,San Francisco,CA,18,12,3,5,11
Academy of Chinese Culture and Health Sciences,Oakland,CA,26,18,2,7,11
Acupuncture and Integrative Medicine College-Berkeley,Berkeley,CA,26,18,2,7,12
Acupuncture and Massage College,Miami,FL,26,9,3,6,13
Adams State University,Alamosa,CO,18,10,1,5,33
Adelphi University,Garden City,NY,17,12,2,5,21
Adler Graduate School,Minnetonka,MN,26,18,2,7,13
Adler University,Chicago,IL,26,18,2,7,11
Adrian College,Adrian,MI,22,11,2,3,32
Advance Science International College,Miami Lakes,FL,10,1,3,1,21
Advanced College,South Gate,CA,10,1,3,1,21
Advanced Technology Institute,Virginia Beach,VA,11,1,3,1,11
AdventHealth University,Orlando,FL,26,9,2,5,11
Agnes Scott College,Decatur,GA,21,11,2,3,21
AI Miami International University of Art and Design,Miami,FL,22,6,3,3,11
Aiken Technical College,Graniteville,SC,4,2,1,1,41
Aims Community College,Greeley,CO,3,3,1,1,12
Air Force Institute of Technology-Graduate School of Engineering & Management,Wright-Patterson AFB,OH,16,18,1,7,21
Air University,Montgomery,AL,18,15,1,3,32
Alabama A & M University,Normal,AL,18,14,1,4,12
Alabama College of Osteopathic Medicine,Dothan,AL,25,18,2,7,41
Alabama State University,Montgomery,AL,17,14,1,3,12
Alamance Community College,Graham,NC,6,3,1,1,41
Alaska Bible College,Palmer,AK,24,7,2,2,32
Alaska Career College,Anchorage,AK,13,1,3,1,11
Alaska Christian College,Soldotna,AK,1,1,2,1,41
Alaska Pacific University,Anchorage,AK,22,7,2,5,11
Albany College of Pharmacy and Health Sciences,Albany,NY,26,11,2,5,13
Albany Law School,Albany,NY,31,18,2,7,13
Albany Medical College,Albany,NY,25,18,2,7,13
Albany State University,Albany,GA,19,13,1,3,13
Albany Technical College,Albany,GA,8,2,1,1,13
Albert Einstein College of Medicine,Bronx,NY,27,18,2,7,11
Albertus Magnus College,New Haven,CT,19,10,2,4,12
Albion College,Albion,MI,21,11,2,2,31
Albizu University-Miami,Miami,FL,17,6,2,6,13
Albizu University-San Juan,San Juan,PR,26,9,2,6,11
Albright College,Reading,PA,21,11,2,3,13
Alcorn State University,Alcorn State,MS,20,11,1,4,43
Alderson Broaddus University,Philippi,WV,22,8,2,4,32
Alexandria Technical & Community College,Alexandria,MN,9,2,1,1,33
Alfred University,Alfred,NY,18,11,2,4,33
Alhambra Medical University,Alhambra,CA,26,18,3,6,21
Alice Lloyd College,Pippa Passes,KY,22,8,2,2,43
Allan Hancock College,Santa Maria,CA,2,4,1,1,12
Allegany College of Maryland,Cumberland,MD,7,2,1,1,13
Allegheny College,Meadville,PA,21,11,2,2,32
Allegheny Wesleyan College,Salem,OH,24,8,2,2,41
Allen College,Waterloo,IA,26,6,2,5,13
Allen County Community College,Iola,KS,3,2,1,1,33
Allen University,Columbia,SC,21,8,2,3,12
Alliant International University-San Diego,San Diego,CA,17,9,3,6,11
Alma College,Alma,MI,22,11,2,2,32
Alpena Community College,Alpena,MI,14,6,1,2,41
Alvernia University,Reading,PA,17,11,2,4,13
Alverno College,Milwaukee,WI,18,9,2,5,11
Alvin Community College,Alvin,TX,9,3,1,1,21
Amarillo College,Amarillo,TX,4,4,1,1,12
Amberton University,Garland,TX,18,6,2,6,21
Ambria College of Nursing,Hoffman Estates,IL,26,6,3,2,13
America Evangelical University,Los Angeles,CA,24,6,2,6,11
American Academy McAllister Institute of Funeral Service,New York,NY,12,1,2,1,11
American Academy of Acupuncture and Oriental Medicine,Roseville,MN,26,18,3,7,21
American Academy of Art,Chicago,IL,30,6,2,2,11
American Academy of Dramatic Arts-New York,New York,NY,12,1,2,1,11
American Baptist College,Nashville,TN,22,8,2,2,11
American Business and Technology University,St Joseph,MO,22,6,3,3,13
American Career College-Anaheim,Anaheim,CA,10,2,3,1,11
American Career College-Los Angeles,Los Angeles,CA,10,2,3,1,11
American Career College-Ontario,Ontario,CA,10,2,3,1,12
American College of Acupuncture and Oriental Med,Houston,TX,26,18,3,7,11
American College of Education,Indianapolis,IN,32,12,3,6,11
American College of Financial Services,King of Prussia,PA,29,18,2,3,21
American College of Healthcare Sciences,Portland,OR,26,6,3,5,11
American College of the Building Arts,Charleston,SC,32,6,2,2,12
American Conservatory Theater,San Francisco,CA,30,18,2,6,11
American Film Institute Conservatory,Los Angeles,CA,30,18,2,7,11
American Institute of Alternative Medicine,Columbus,OH,26,9,3,3,11
American InterContinental University,Chandler,AZ,18,15,3,4,41
American InterContinental University-Atlanta,Atlanta,GA,19,9,3,3,12
American InterContinental University-Houston,Houston,TX,20,6,3,4,11
American International College,Springfield,MA,17,11,2,5,12
American Jewish University,Los Angeles,CA,21,8,2,6,11
American Medical Academy,Miami,FL,10,1,3,1,21
American Medical Sciences Center,Glendale,CA,10,1,3,1,12
American Musical and Dramatic Academy,New York,NY,30,11,2,3,11
American National University,Salem,VA,23,6,3,4,22
American National University-Pikeville,Pikeville,KY,26,6,3,2,41
American Public University System,Charles Town,WV,18,15,3,4,31
American River College,Sacramento,CA,5,5,1,1,21
American Samoa Community College,Pago Pago,AS,14,6,1,2,33
American Trade School,Saint Ann,MO,11,1,3,1,21
American University,Washington,DC,16,17,2,5,11
American University of Health Sciences,Signal Hill,CA,26,6,3,4,21
American University of Puerto Rico,Bayamon,PR,22,6,2,3,12
American University of Puerto Rico,Manati,PR,22,6,2,3,21
AmeriTech College-Draper,Draper,UT,26,9,3,3,21
Amherst College,Amherst,MA,21,11,2,2,21
Amridge University,Montgomery,AL,20,6,2,6,12
Anabaptist Mennonite Biblical Seminary,Elkhart,IN,24,18,2,7,13
Anderson University,Anderson,IN,20,11,2,3,13
Anderson University,Anderson,SC,18,14,2,4,13
Andrew College,Cuthbert,GA,14,7,2,2,32
Andrews University,Berrien Springs,MI,17,11,2,5,31
Angeles College,Los Angeles,CA,26,6,3,3,11
Angelina College,Lufkin,TX,5,2,1,1,33
Angelo State University,San Angelo,TX,18,13,1,4,12
Anna Maria College,Paxton,MA,19,11,2,4,41
Anne Arundel Community College,Arnold,MD,5,4,1,1,21
Anoka Technical College,Anoka,MN,7,2,1,1,21
Anoka-Ramsey Community College,Coon Rapids,MN,3,3,1,1,21
Antelope Valley College,Lancaster,CA,14,12,1,2,21
Antioch College,Yellow Springs,OH,21,8,2,2,31
Antioch University Online,Yellow Springs,OH,21,6,2,5,41
Antioch University-Los Angeles,Culver City,CA,18,6,2,6,21
Antioch University-New England,Keene,NH,18,18,2,7,32
Antioch University-PhD Program in Leadership and Change,Yellow Springs,OH,29,18,2,7,41
Antioch University-Santa Barbara,Santa Barbara,CA,20,6,2,6,13
Antioch University-Seattle,Seattle,WA,19,6,2,6,11
AOMA Graduate School of Integrative Medicine,Austin,TX,26,18,3,7,11
Apex College of Veterinary Technology,Colorado Springs,CO,13,1,3,1,11
Appalachian Bible College,Mount Hope,WV,24,8,2,3,41
Appalachian College of Pharmacy,Oakwood,VA,26,18,2,7,43
Appalachian School of Law,Grundy,VA,31,18,2,7,43
Appalachian State University,Boone,NC,18,16,1,3,32
Aquinas College,Grand Rapids,MI,21,11,2,3,12
Aquinas Institute of Theology,Saint Louis,MO,24,18,2,7,11
Arapahoe Community College,Littleton,CO,6,4,1,1,21
Arcadia University,Glenside,PA,18,11,2,5,21
Arizona Christian University,Glendale,AZ,22,8,2,2,21
Arizona College of Nursing-Las Vegas,Las Vegas,NV,26,6,3,2,11
Arizona College of Nursing-Tempe,Tempe,AZ,26,6,3,2,12
Arizona College-Glendale,Glendale,AZ,10,2,3,1,21
Arizona College-Mesa,Mesa,AZ,10,1,3,1,11
Arizona School of Acupuncture and Oriental Medicine,Tucson,AZ,26,18,3,7,11
Arizona State University Campus Immersion,Tempe,AZ,15,16,1,4,12
Arizona State University Digital Immersion,Scottsdale,AZ,16,15,1,4,11
Arizona Western College,Yuma,AZ,2,3,1,1,13
Arkansas Baptist College,Little Rock,AR,23,7,2,2,12
Arkansas Colleges of Health Education,Fort Smith,AR,25,18,2,7,41
Arkansas Northeastern College,Blytheville,AR,5,2,1,1,41
Arkansas State University,Jonesboro,AR,16,13,1,4,13
Arkansas State University Mid-South,West Memphis,AR,3,2,1,1,21
Arkansas State University Three Rivers,Malvern,AR,9,2,1,1,31
Arkansas State University-Beebe,Beebe,AR,4,3,1,1,31
Arkansas State University-Mountain Home,Mountain Home,AR,8,2,1,1,41
Arkansas State University-Newport,Newport,AR,9,2,1,1,42
Arkansas Tech University,Russellville,AR,18,13,1,3,33
Arlington Baptist University,Arlington,TX,22,8,2,3,11
Art Academy of Cincinnati,Cincinnati,OH,30,7,2,3,11
Art Center College of Design,Pasadena,CA,20,9,2,4,12
ASA College,Brooklyn,NY,14,9,3,2,11
Asbury Theological Seminary,Wilmore,KY,24,18,2,7,31
Asbury University,Wilmore,KY,20,11,2,3,31
Ascent College,Hampton,VA,24,6,2,2,12
Asher College,Sacramento,CA,7,1,3,1,21
Asheville-Buncombe Technical Community College,Asheville,NC,6,3,1,1,13
Ashland Community and Technical College,Ashland,KY,8,2,1,1,13
Ashland University,Ashland,OH,18,14,2,5,31
Asnuntuck Community College,Enfield,CT,8,2,1,1,21
Aspen University,Denver,CO,26,12,3,5,11
Associated Beth Rivkah Schools,Brooklyn,NY,13,1,2,1,11
Assumption College for Sisters,Denville,NJ,1,1,2,1,21
Assumption University,Worcester,MA,19,11,2,4,12
ATA Career Education,Spring Hill,FL,10,1,3,1,22
ATA College,El Cajon,CA,7,1,3,1,21
ATA College,Louisville,KY,10,1,3,1,21
ATA College-Cincinnati,Cincinnati,OH,10,1,3,1,21
Atenas College,Manati,PR,26,6,2,2,21
Athena Career Academy,Toledo,OH,13,1,3,1,11
Athenaeum of Ohio,Cincinnati,OH,24,18,2,6,11
Athens State University,Athens,AL,22,9,1,3,31
Athens Technical College,Athens,GA,8,3,1,1,12
Atlanta Institute of Music and Media,Duluth,GA,1,1,3,1,21
Atlanta Metropolitan State College,Atlanta,GA,23,6,1,2,11
Atlanta Technical College,Atlanta,GA,8,2,1,1,11
Atlanta's John Marshall Law School,Atlanta,GA,31,18,3,7,11
Atlantic Cape Community College,Mays Landing,NJ,1,3,1,1,41
Atlantic Institute of Oriental Medicine,Fort Lauderdale,FL,26,6,2,6,12
Atlantic University College,Guaynabo,PR,20,9,2,3,13
Atlantis University,Miami,FL,19,6,3,6,11
Auburn University,Auburn,AL,15,15,1,4,13
Auburn University at Montgomery,Montgomery,AL,18,13,1,4,12
Augsburg University,Minneapolis,MN,18,10,2,4,11
Augusta Technical College,Augusta,GA,7,3,1,1,12
Augusta University,Augusta,GA,16,12,1,5,12
Augustana College,Rock Island,IL,21,11,2,3,13
Augustana University,Sioux Falls,SD,19,11,2,3,12
Auguste Escoffier School of Culinary Arts-Austin,Austin,TX,12,2,3,1,11
Auguste Escoffier School of Culinary Arts-Boulder,Boulder,CO,12,4,3,1,12
Aultman College of Nursing and Health Sciences,Canton,OH,26,6,2,2,13
Aurora University,Aurora,IL,17,12,2,5,21
Austin College,Sherman,TX,21,11,2,3,13
Austin Community College District,Austin,TX,14,15,1,2,11
Austin Peay State University,Clarksville,TN,18,12,1,3,12
Austin Presbyterian Theological Seminary,Austin,TX,24,18,2,7,11
Ave Maria School of Law,Naples,FL,31,18,2,7,21
Ave Maria University,Ave Maria,FL,21,11,2,3,42
Averett University,Danville,VA,19,11,2,4,32
Aviator College of Aeronautical Science and Technology,Fort Pierce,FL,11,1,3,1,41
Avila University,Kansas City,MO,19,10,2,4,11
Azusa Pacific University,Azusa,CA,16,14,2,5,21
Babson College,Wellesley,MA,29,11,2,4,21
Bacone College,Muskogee,OK,22,8,2,2,32
Bais HaMedrash and Mesivta of Baltimore,Baltimore,MD,24,8,2,2,21
Bais Medrash Elyon,Monsey,NY,24,8,2,6,21
Bais Medrash Mayan Hatorah,Lakewood,NJ,24,8,2,2,13
Bais Medrash of Dexter Park,Chestnut Ridge,NY,24,6,2,2,21
Bais Medrash Toras Chesed,Lakewood,NJ,24,8,2,2,13
Baker College,Owosso,MI,19,12,2,3,32
Baker University,Baldwin City,KS,17,10,2,4,31
Bakersfield College,Bakersfield,CA,14,15,1,2,11
Bakke Graduate University,Dallas,TX,24,18,2,7,11
Baldwin Wallace University,Berea,OH,18,14,2,4,21
Ball State University,Muncie,IN,16,16,1,4,13
Baltimore City Community College,Baltimore,MD,4,3,1,1,11
Bank Street College of Education,New York,NY,32,18,2,7,11
Baptist Bible College,Springfield,MO,24,8,2,3,12
Baptist Health College Little Rock,Little Rock,AR,10,2,2,1,12
Baptist Health Sciences University,Memphis,TN,26,6,2,3,11
Baptist Health System School of Health Professions,San Antonio,TX,26,6,3,2,11
Baptist Missionary Association Theological Seminary,Jacksonville,TX,24,6,2,6,32
Baptist University of the Americas,San Antonio,TX,22,7,2,2,11
Barclay College,Haviland,KS,22,8,2,4,43
Bard College,Annandale-On-Hudson,NY,21,11,2,4,31
Bard College at Simon's Rock,Great Barrington,MA,23,8,2,2,32
Barnard College,New York,NY,21,11,2,2,11
Barnes-Jewish College Goldfarb School of Nursing,Saint Louis,MO,26,6,2,4,11
Barry University,Miami,FL,17,13,2,5,21
Barstow Community College,Barstow,CA,7,2,1,1,32
Barton College,Wilson,NC,22,11,2,3,31
Barton County Community College,Great Bend,KS,3,3,1,1,41
Bastyr University,Kenmore,WA,17,7,2,6,21
Bates College,Lewiston,ME,21,11,2,2,13
Bates Technical College,Tacoma,WA,9,3,1,1,12
Baton Rouge Community College,Baton Rouge,LA,4,3,1,1,12
Baton Rouge School of Computers,Baton Rouge,LA,11,1,3,1,12
Bay de Noc Community College,Escanaba,MI,5,2,1,1,33
Bay Mills Community College,Brimley,MI,33,6,1,2,42
Bay Path University,Longmeadow,MA,18,9,2,5,21
Bay State College,Boston,MA,22,6,3,2,11
Baylor College of Medicine,Houston,TX,27,18,2,7,11
Baylor University,Waco,TX,15,16,2,4,12
Beacon College,Leesburg,FL,22,8,2,2,22
Beal University,Bangor,ME,7,1,3,1,13
Beaufort County Community College,Washington,NC,2,2,1,1,41
Beckfield College-Florence,Florence,KY,26,6,3,2,21
Be'er Yaakov Talmudic Seminary,Spring Valley,NY,24,6,2,2,21
Beis Medrash Heichal Dovid,Far Rockaway,NY,24,8,2,3,11
Belanger School of Nursing,Schenectady,NY,10,1,2,1,13
Belhaven University,Jackson,MS,17,10,2,5,12
Bellarmine University,Louisville,KY,17,10,2,4,11
Bellevue College,Bellevue,WA,23,12,1,2,12
Bellevue University,Bellevue,NE,18,15,2,5,21
Bellin College,Green Bay,WI,26,6,2,4,41
Bellingham Technical College,Bellingham,WA,14,6,1,2,13
Belmont Abbey College,Belmont,NC,22,11,2,2,22
Belmont College,St Clairsville,OH,8,2,1,1,41
Belmont University,Nashville,TN,17,14,2,4,11
Beloit College,Beloit,WI,21,8,2,2,13
Bel-Rea Institute of Animal Technology,Denver,CO,10,1,3,1,21
Bemidji State University,Bemidji,MN,20,13,1,3,33
Benedict College,Columbia,SC,22,11,2,3,12
Benedictine College,Atchison,KS,22,11,2,3,32
Benedictine University,Lisle,IL,18,9,2,5,21
Benjamin Franklin Institute of Technology,Boston,MA,23,6,2,2,11
Bennett College,Greensboro,NC,21,8,2,2,11
Bennington College,Bennington,VT,21,8,2,4,32
Bentley University,Waltham,MA,18,14,2,4,13
Berea College,Berea,KY,21,11,2,2,32
Bergen Community College,Paramus,NJ,1,4,1,1,21
Bergin University of Canine Studies,Penngrove,CA,22,6,2,5,23
Berkeley City College,Berkeley,CA,3,3,1,1,12
Berkeley College-New York,New York,NY,22,9,3,2,11
Berkeley College-Woodland Park,Woodland Park,NJ,20,9,3,3,21
Berkeley School of Theology,Berkeley,CA,24,18,2,7,12
Berklee College of Music,Boston,MA,18,12,2,4,11
Berkshire Community College,Pittsfield,MA,4,2,1,1,41
Berry College,Mount Berry,GA,20,11,2,3,23
Bet Medrash Gadol Ateret Torah,Brooklyn,NY,24,6,2,2,11
Beth Medrash Govoha,Lakewood,NJ,24,14,2,6,13
Beth Medrash Meor Yitzchok,Monsey,NY,24,8,2,2,21
Beth Medrash of Asbury Park,Lakewood,NJ,24,8,2,2,21
Bethany College,Lindsborg,KS,22,8,2,2,33
Bethany College,Bethany,WV,21,8,2,3,41
Bethany Global University,Bloomington,MN,24,8,2,3,13
Bethany Lutheran College,Mankato,MN,21,8,2,2,13
Bethany Theological Seminary,Richmond,IN,24,18,2,7,32
Bethel College-North Newton,North Newton,KS,22,8,2,2,32
Bethel University,Mishawaka,IN,20,11,2,3,13
Bethel University,Saint Paul,MN,17,11,2,4,21
Bethel University,McKenzie,TN,18,10,2,4,32
Bethesda University,Anaheim,CA,22,6,2,5,11
Bethlehem College & Seminary,Minneapolis,MN,24,6,2,5,11
Bethune-Cookman University,Daytona Beach,FL,21,11,2,3,13
Beulah Heights University,Atlanta,GA,21,6,2,5,11
Beverly Hills Design Institute,Beverly Hills,CA,32,6,3,2,21
Bevill State Community College,Jasper,AL,8,2,1,1,32
"Bexley Hall Seabury Western Theological Seminary Federation, Inc.",Chicago,IL,24,18,2,7,11
Big Bend Community College,Moses Lake,WA,5,2,1,1,33
Big Sandy Community and Technical College,Prestonsburg,KY,4,2,1,1,33
Binghamton University,Vestal,NY,15,16,1,4,22
Biola University,La Mirada,CA,17,14,2,5,21
Birmingham-Southern College,Birmingham,AL,21,11,2,2,12
Birthingway College of Midwifery,Beaverton,OR,26,6,2,2,13
Bishop State Community College,Mobile,AL,8,2,1,1,12
Bismarck State College,Bismarck,ND,14,9,1,2,13
Black Hawk College,Moline,IL,6,3,1,1,13
Black Hills State University,Spearfish,SD,20,10,1,3,32
Black River Technical College,Pocahontas,AR,1,2,1,1,41
Blackburn College,Carlinville,IL,22,8,2,2,32
Blackfeet Community College,Browning,MT,33,9,1,1,41
Blackhawk Technical College,Janesville,WI,8,2,1,1,23
Bladen Community College,Dublin,NC,9,2,1,1,42
Blessing Rieman College of Nursing and Health Sciences,Quincy,IL,26,6,2,3,33
Blinn College,Brenham,TX,1,5,1,1,32
Bloomfield College,Bloomfield,NJ,21,10,2,5,21
Bloomsburg University of Pennsylvania,Bloomsburg,PA,18,13,1,3,13
Blue Cliff College-Alexandria,Alexandria,LA,10,2,3,1,13
Blue Mountain College,Blue Mountain,MS,22,8,2,3,42
Blue Mountain Community College,Pendleton,OR,3,2,1,1,41
Blue Ridge Community and Technical College,Martinsburg,WV,3,2,1,1,41
Blue Ridge Community College,Flat Rock,NC,3,2,1,1,21
Blue Ridge Community College,Weyers Cave,VA,2,2,1,1,41
Bluefield State University,Bluefield,WV,22,9,1,2,32
Bluefield University,Bluefield,VA,19,8,2,4,32
Bluegrass Community and Technical College,Lexington,KY,4,4,1,1,11
Bluffton University,Bluffton,OH,22,8,2,3,32
Bnos Zion Of Bobov Seminary,Brooklyn,NY,13,1,2,1,11
Bob Jones University,Greenville,SC,20,11,2,3,13
Boise Bible College,Boise,ID,24,8,2,2,21
Boise State University,Boise,ID,16,15,1,4,12
Bolivar Technical College,Bolivar,MO,10,1,2,1,32
Bon Secours Memorial College of Nursing,Richmond,VA,26,6,2,2,21
Boricua College,New York,NY,22,6,2,4,11
Bossier Parish Community College,Bossier City,LA,4,3,1,1,13
Boston Architectural College,Boston,MA,30,6,2,6,11
Boston Baptist College,Boston,MA,24,8,2,2,11
Boston College,Chestnut Hill,MA,15,17,2,5,13
Boston Graduate School of Psychoanalysis Inc,Brookline,MA,26,18,2,7,21
Boston University,Boston,MA,15,17,2,5,11
Bowdoin College,Brunswick,ME,21,11,2,2,31
Bowie State University,Bowie,MD,18,13,1,4,21
Bowling Green State University-Firelands,Huron,OH,5,2,1,1,41
Bowling Green State University-Main Campus,Bowling Green,OH,16,16,1,4,31
Bradley University,Peoria,IL,17,13,2,4,12
Brandeis University,Waltham,MA,15,14,2,5,13
Brazosport College,Lake Jackson,TX,14,9,1,2,23
Brenau University,Gainesville,GA,17,9,2,5,13
Brescia University,Owensboro,KY,22,7,2,3,13
Brevard College,Brevard,NC,22,8,2,2,31
Brewton-Parker College,Mount Vernon,GA,22,8,2,2,42
Briar Cliff University,Sioux City,IA,17,8,2,4,13
BridgeValley Community & Technical College,South  Charleston,WV,7,2,1,1,22
Bridgewater College,Bridgewater,VA,21,11,2,3,23
Bridgewater State University,Bridgewater,MA,18,13,1,4,21
Brigham Young University,Provo,UT,16,15,2,3,12
Brigham Young University-Hawaii,Laie,HI,22,11,2,2,31
Brigham Young University-Idaho,Rexburg,ID,22,15,2,2,32
Brightpoint Community College,Chester,VA,3,3,1,1,21
Bristol Community College,Fall River,MA,1,3,1,1,21
Brite Divinity School,Fort Worth,TX,24,18,2,7,11
Broadview College,West Jordan,UT,13,1,3,1,21
Brookdale Community College,Lincroft,NJ,4,4,1,1,41
Brookline College-Albuquerque,Albuquerque,NM,26,6,3,2,11
Brookline College-Phoenix,Phoenix,AZ,26,9,3,3,11
Brookline College-Tempe,Tempe,AZ,13,2,3,1,12
Brookline College-Tucson,Tucson,AZ,7,1,3,1,11
Brooklyn Law School,Brooklyn,NY,31,18,2,7,11
Broward College,Fort Lauderdale,FL,14,15,1,2,12
Brown University,Providence,RI,15,14,2,5,12
Brunswick Community College,Bolivia,NC,2,2,1,1,42
Bryan College of Health Sciences,Lincoln,NE,26,6,2,4,11
Bryan College-Dayton,Dayton,TN,20,8,2,4,32
Bryan University,Tempe,AZ,23,9,3,2,12
Bryan University,Springfield,MO,23,6,3,3,12
Bryan University,Rogers,AR,7,1,3,1,13
Bryant & Stratton College-Albany,Albany,NY,14,6,3,2,21
Bryant & Stratton College-Buffalo,Buffalo,NY,23,6,3,2,11
Bryant & Stratton College-Greece,Rochester,NY,14,6,3,2,21
Bryant & Stratton College-Online,Orchard Park,NY,23,12,3,2,21
Bryant & Stratton College-Parma,Parma,OH,14,6,3,2,21
Bryant & Stratton College-Syracuse North,Liverpool,NY,14,6,3,2,21
Bryant & Stratton College-Virginia Beach,Virginia Beach,VA,14,9,3,2,11
Bryant & Stratton College-Wauwatosa,Wauwatosa,WI,23,9,3,2,21
Bryant University,Smithfield,RI,18,14,2,3,21
Bryn Athyn College of the New Church,Bryn Athyn,PA,21,8,2,3,21
Bryn Mawr College,Bryn Mawr,PA,21,11,2,4,21
Bucknell University,Lewisburg,PA,21,14,2,3,32
Bucks County Community College,Newtown,PA,2,3,1,1,41
Buena Vista University,Storm Lake,IA,19,11,2,3,33
Bunker Hill Community College,Boston,MA,1,4,1,1,11
Burrell College of Osteopathic Medicine,Las Cruces,NM,25,18,3,7,22
Bushnell University,Eugene,OR,20,8,2,5,12
Butler Community College,El Dorado,KS,1,3,1,1,32
Butler County Community College,Butler,PA,4,2,1,1,31
Butler University,Indianapolis,IN,18,14,2,4,11
Butte College,Oroville,CA,7,4,1,1,42
Byzantine Catholic Seminary of Saints Cyril and Methodius,Pittsburgh,PA,24,18,2,7,11
Cabarrus College of Health Sciences,Concord,NC,26,6,2,4,13
Cabrillo College,Aptos,CA,1,4,1,1,22
Cabrini University,Radnor,PA,19,11,2,4,21
Cairn University-Langhorne,Langhorne,PA,19,8,2,4,21
Caldwell Community College and Technical Institute,Hudson,NC,2,3,1,1,22
Caldwell University,Caldwell,NJ,19,10,2,4,21
California Aeronautical University,Bakersfield,CA,28,8,3,3,21
California Arts University,Fullerton,CA,30,18,2,7,21
California Baptist University,Riverside,CA,18,13,2,4,11
California Career College,Canoga Park,CA,10,1,3,1,11
California Christian College,Fresno,CA,24,7,2,2,11
California College of the Arts,San Francisco,CA,30,11,2,4,11
California Health Sciences University,Clovis,CA,26,18,3,7,21
California Indian Nations College,Palm Desert,CA,3,1,2,1,13
California Institute of Advanced Management,Alhambra,CA,29,18,2,7,21
California Institute of Arts & Technology,San Diego,CA,11,1,3,1,11
California Institute of Arts & Technology-National City,National City,CA,11,1,3,1,21
California Institute of Integral Studies,San Francisco,CA,17,9,2,6,11
California Institute of Technology,Pasadena,CA,15,11,2,6,12
California Institute of the Arts,Valencia,CA,19,11,2,5,21
California Intercontinental University,Irvine,CA,17,6,3,6,11
California Jazz Conservatory,Berkeley,CA,30,6,2,2,12
California Lutheran University,Thousand Oaks,CA,18,14,2,5,12
California Miramar University,San Diego,CA,29,6,3,5,11
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,18,16,1,3,23
California State Polytechnic University-Humboldt,Arcata,CA,18,13,1,3,33
California State Polytechnic University-Pomona,Pomona,CA,18,15,1,3,21
California State University Maritime Academy,Vallejo,CA,22,8,1,3,12
California State University-Bakersfield,Bakersfield,CA,18,15,1,4,11
California State University-Channel Islands,Camarillo,CA,20,12,1,3,22
California State University-Chico,Chico,CA,18,15,1,3,12
California State University-Dominguez Hills,Carson,CA,18,15,1,4,13
California State University-East Bay,Hayward,CA,16,15,1,4,21
California State University-Fresno,Fresno,CA,16,15,1,3,11
California State University-Fullerton,Fullerton,CA,16,15,1,3,21
California State University-Long Beach,Long Beach,CA,16,15,1,4,11
California State University-Los Angeles,Los Angeles,CA,18,15,1,4,11
California State University-Monterey Bay,Seaside,CA,18,14,1,4,22
California State University-Northridge,Northridge,CA,18,15,1,4,11
California State University-Sacramento,Sacramento,CA,18,15,1,3,11
California State University-San Bernardino,San Bernardino,CA,16,15,1,4,12
California State University-San Marcos,San Marcos,CA,18,15,1,3,21
California State University-Stanislaus,Turlock,CA,18,12,1,4,23
California University of Pennsylvania,California,PA,18,13,1,4,23
California University of Science and Medicine,Colton,CA,25,18,2,7,21
California Western School of Law,San Diego,CA,31,18,2,7,11
Calumet College of Saint Joseph,Whiting,IN,20,6,2,4,21
Calvary University,Kansas City,MO,22,7,2,4,11
Calvin Theological Seminary,Grand Rapids,MI,24,18,2,7,12
Calvin University,Grand Rapids,MI,20,14,2,3,12
Cambridge College,Boston,MA,18,9,2,6,11
Cambridge College of Healthcare & Technology,Delray Beach,FL,10,2,3,1,13
Cambridge Institute of Allied Health & Technology,Altamonte Springs,FL,10,1,3,1,21
Camden County College,Blackwood,NJ,3,3,1,1,21
Cameron University,Lawton,OK,20,9,1,3,13
Campbell University,Buies Creek,NC,17,13,2,5,31
Campbellsville University,Campbellsville,KY,18,14,2,6,32
Canada College,Redwood City,CA,3,3,1,1,21
Canisius College,Buffalo,NY,18,10,2,4,11
Cankdeska Cikana Community College,Fort Totten,ND,33,9,1,1,42
Cape Cod Community College,West Barnstable,MA,5,2,1,1,13
Cape Fear Community College,Wilmington,NC,1,3,1,1,12
Capella University,Minneapolis,MN,17,15,3,6,11
Capital Community College,Hartford,CT,8,2,1,1,12
Capital University,Columbus,OH,18,11,2,4,21
Capitol Technology University,Laurel,MD,17,8,2,5,21
Cardinal Stritch University,Milwaukee,WI,17,7,2,5,21
Career Care Institute,Lancaster,CA,10,2,3,1,21
Career College of Northern Nevada,Sparks,NV,8,1,3,1,21
Career Networks Institute,Santa Ana,CA,26,6,3,2,11
Career Technical Institute,Washington,DC,7,1,3,1,11
Careers Unlimited,Orem,UT,26,6,3,2,13
Caribbean University-Bayamon,Bayamon,PR,20,6,2,5,12
Caribbean University-Carolina,Carolina,PR,22,6,2,3,21
