university,city_land_area,international_students_natlib,international_students_max,tuition_kaggle,selectivity,world_rank_cat_arwu,world_rank_qs,type1_all,type2_carnegie,type3_natlib,type4_carnegie,enrprofile2021_carnegie,locale_carnegie,size_qs,stu_facl_ratio_qs,research_output_qs,award_arwu,hi_ci_arwu,n_s_arwu,pub_arwu,pcp_arwu,alumni_arwu,enrollment_kaggle,enrollment_top120enrollment,city,state,city_population_density,city_population
Citrus College,19,NA,278,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glendora,CA,2674,51851
City College of San Francisco,47,NA,500,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Francisco,CA,18581,870887
Collin County Community College District,62,NA,608,NA,NA,NA,NA,public,Four-year (large),NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35390,McKinney,TX,2770,172298
CUNY Borough of Manhattan Community College,303,NA,736,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New York,NY,28211,8537673
CUNY LaGuardia Community College,NA,NA,431,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Long Island City,NY,23700,63000
Dallas College,341,NA,1450,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74781,Dallas,TX,3870,1317929
De Anza College,11,NA,1865,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cupertino,CA,5386,60643
Diablo Valley College,NA,NA,693,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pleasant Hill,CA,4900,34304
Edmonds College,NA,NA,698,NA,NA,NA,NA,public,Four-year (small),NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lynnwood,WA,4964,40592
Foothill College,NA,NA,748,NA,NA,NA,NA,public,Four-year (median),NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Altos Hills,CA,962,8295
Glendale Community College,30,NA,377,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glendale,CA,6595,200831
Golden West College,27,NA,305,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Huntington Beach,CA,7501,200652
Green River College,30,NA,908,NA,NA,NA,NA,public,Four-year (median),NA,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Auburn,WA,2616,77472
Grossmont College,14,NA,336,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,El Cajon,CA,7191,103768
Irvine Valley College,66,NA,606,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Irvine,CA,4025,266122
Kapiolani Community College,NA,NA,351,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Honolulu,HI,5791,345510
Lone Star College System,NA,NA,2884,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70109,The Woodlands,TX,2644,114532
Massachusetts College of Art and Design,48,NA,119,NA,NA,NA,NA,public,Four-year (small),NA,Special Focus Four-Year,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boston,MA,13943,673184
Midwestern State University,72,NA,522,NA,NA,NA,NA,public,Four-year (median),NA,Master's Colleges & Universities,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wichita Falls,TX,1452,104724
Montgomery College,14,NA,1446,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rockville,MD,4955,66940
Morgan State University,81,0.06,NA,18480,NA,NA,NA,public,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,6270,NA,Baltimore,MD,7594,614664
Mt. San Antonio College,NA,NA,364,NA,NA,NA,NA,public,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28393,Walnut,CA,3145,27830
Northern Virginia Community College,NA,NA,1167,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52873,Annandale,VA,5517,42240
Northwest Missouri State University,NA,NA,808,NA,NA,NA,NA,public,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maryville,MO,1668,10847
Oakland Community College,12,NA,277,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Royal Oak,MI,5009,59006
Orange Coast College,16,NA,1180,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Costa Mesa,CA,7209,112822
Pasadena City College,23,NA,581,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pasadena,CA,6185,142059
Portland Community College,133,NA,331,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Portland,OR,4795,639863
San Francisco State University,47,0.07,1260,NA,NA,NA,NA,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Francisco,CA,18581,870887
San Jose State University,177,NA,4644,NA,NA,NA,NA,public,Four-year (large),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36208,San Jose,CA,5808,1025350
Santa Barbara City College,19,NA,397,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Santa Barbara,CA,4722,91930
Santa Monica College,8,NA,2104,NA,NA,NA,NA,public,Four-year (large),NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Santa Monica,CA,10996,92478
Seattle Central College,84,NA,719,NA,NA,NA,NA,public,Four-year (small),NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seattle,WA,8391,704352
Shoreline Community College,12,NA,712,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shoreline,WA,4741,55333
South Dakota School of Mines and Technology,55,NA,178,NA,NA,NA,NA,public,Four-year (small),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapid City,SD,1336,74048
Southeast Missouri State University,NA,NA,602,NA,NA,NA,NA,public,Four-year (median),NA,Master's Colleges & Universities,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cape Girardeau,MO,1352,39820
Southern Utah University,NA,NA,548,NA,NA,NA,NA,public,Four-year (median),NA,Master's Colleges & Universities,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cedar City,UT,1018,37206
The Pennsylvania State University,NA,0.1,NA,NA,NA,NA,NA,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89816,University Park,PA,15306,12764
Troy University,NA,NA,617,NA,NA,NA,NA,public,Four-year (large),NA,Master's Colleges & Universities,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,AL,623,17609
University of Central Missouri,NA,NA,1341,NA,NA,NA,NA,public,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Warrensburg,MO,2066,19638
University of Central Oklahoma,85,NA,635,NA,NA,NA,NA,public,Four-year (large),NA,Master's Colleges & Universities,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Edmond,OK,1077,91191
University of Nebraska Omaha,127,0.05,292,NA,NA,NA,NA,public,Four-year (median),National,Special Focus Four-Year,Exclusive/Majority graduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Omaha,NE,3517,446970
University of North Alabama,NA,NA,697,NA,NA,NA,NA,public,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Florence,AL,715,1524
University of North Dakota,20,0.05,NA,15067,NA,NA,NA,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,9796,NA,Grand Forks,ND,2881,57339
University of North Texas Health Science Center,340,NA,127,NA,NA,NA,NA,public,NA,NA,Special Focus Four-Year,Exclusive/Majority graduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fort Worth,TX,2513,854113
University of Science and Arts of Oklahoma,NA,0.09,NA,NA,NA,NA,NA,public,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chickasha,OK,715,15786
University of Toledo,81,0.06,NA,20818,NA,NA,NA,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,14406,NA,Toledo,OH,3452,278508
Valencia College,102,NA,1345,NA,NA,NA,NA,public,Four-year (large),NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45949,Orlando,FL,2707,277173
Wichita State University,159,0.05,NA,18166,NA,NA,NA,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,12406,NA,Wichita,KS,2448,389902
University of Denver,153,NA,599,54819,very competitive plus,NA,NA,private,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,M,10,Very High,NA,NA,NA,NA,NA,NA,5699,NA,Denver,CO,4530,693060
Boston College,18,NA,1471,61706,most competitive,301-400,401-500,private,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,13,Very High,0,13.5,16.8,23.5,17.8,0,9445,NA,Newton,MA,4991,89045
The New School,303,0.3,3599,52979,highly competitive plus,NA,501-600,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,9,Very High,NA,NA,NA,NA,NA,NA,6430,NA,New York,NY,28211,8537673
American University,61,0.1,1305,51334,highly competitive plus,NA,601-800,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,M,11,Medium High,NA,NA,NA,NA,NA,NA,7953,NA,Washington,DC,11158,681170
Howard University,NA,NA,531,28916,NA,NA,601-800,private,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,M,8,Medium High,NA,NA,NA,NA,NA,NA,7857,NA,Washington D.C.,DC,10984,712816
Fordham University,303,0.07,1982,55776,highly competitive,NA,801-1000,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,13,Medium High,NA,NA,NA,NA,NA,NA,9399,NA,New York,NY,28211,8537673
Loyola University Chicago,228,NA,726,47498,highly competitive,NA,801-1000,private,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,12,Medium High,NA,NA,NA,NA,NA,NA,11612,NA,Chicago,IL,11883,2704958
Syracuse University,25,0.13,5443,57591,highly competitive,NA,601-800,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,14,Very High,NA,NA,NA,NA,NA,NA,14479,NA,Syracuse,NY,5726,143378
Northeastern University,48,0.15,7595,57592,highly competitive,NA,301-400,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,12,Very High,NA,NA,NA,NA,NA,NA,15156,NA,Boston,MA,13943,673184
Drexel University,134,0.09,2526,57136,NA,301-400,601-800,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,11,Very High,0,19.2,9.7,31.4,21.8,0,14552,NA,Philadelphia,PA,11692,1567872
George Washington University,61,0.09,4024,59870,most competitive,NA,301-400,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,11,Very High,NA,NA,NA,NA,NA,NA,11762,NA,Washington,DC,11158,681170
Wake Forest University,132,0.09,805,59770,most competitive,NA,401-500,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,4,Very High,NA,NA,NA,NA,NA,NA,5441,NA,Winston-Salem,NC,1829,242203
Clark University,37,0.08,853,50302,highly competitive,NA,601-800,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,S,12,Very High,NA,NA,NA,NA,NA,NA,2241,NA,Worcester,MA,4937,184508
Clarkson University,NA,NA,384,54370,NA,NA,NA,private,Four-year (median),NA,Doctoral Universities,Majority undergraduate,town or rural,S,14,Very High,NA,NA,NA,NA,NA,NA,2905,NA,Potsdam,NY,1645,15322
Stevens Institute of Technology,1,NA,1919,56920,highly competitive,NA,601-800,private,Four-year (median),NA,Doctoral Universities,Majority undergraduate,suburb,M,20,Very High,NA,NA,NA,NA,NA,NA,3670,NA,Hoboken,NJ,42484,54379
University of Tulsa,197,0.07,550,44838,highly competitive,NA,801-1000,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,S,11,Very High,NA,NA,NA,NA,NA,NA,2929,NA,Tulsa,OK,2049,403090
Smith College,NA,0.14,368,NA,highly competitive plus,NA,601-800,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,suburb,S,8,Very High,NA,NA,NA,NA,NA,NA,NA,NA,Northampton,MA,863,29311
Illinois Institute of Technology,228,0.15,2330,50640,highly competitive plus,NA,401-500,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,15,Very High,NA,NA,NA,NA,NA,NA,3123,NA,Chicago,IL,11883,2704958
Worcester Polytechnic Institute,37,0.06,837,55531,highly competitive plus,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,14,Very High,NA,NA,NA,NA,NA,NA,4892,NA,Worcester,MA,4937,184508
Yeshiva University,303,0.09,467,47500,NA,301-400,201-300,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,S,10,Very High,0,0,23.6,32.2,22.6,0,2017,NA,New York,NY,28211,8537673
University of Hartford,NA,0.06,412,44885,NA,NA,801-1000,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,11,Medium High,NA,NA,NA,NA,NA,NA,4521,NA,West Hartford,CT,2900,63023
Lehigh University,19,0.08,1152,57470,most competitive,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,11,Very High,NA,NA,NA,NA,NA,NA,5203,NA,Bethlehem,PA,3942,75293
University of the Pacific,62,0.08,389,52352,very competitive plus,NA,1001-1200,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,10,Medium High,NA,NA,NA,NA,NA,NA,3524,NA,Stockton,CA,4979,307072
Seattle University,84,0.09,702,49335,NA,NA,801-1000,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,11,Medium High,NA,NA,NA,NA,NA,NA,4299,NA,Seattle,WA,8391,704352
Brandeis University,13,0.2,1554,60391,most competitive,201-300,401-500,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,9,Very High,12,9.6,16.4,18.7,27.8,19,3493,NA,Waltham,MA,4949,63002
Rensselaer Polytechnic Institute,NA,0.15,1594,58526,most competitive,NA,401-500,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,12,Very High,NA,NA,NA,NA,NA,NA,6283,NA,Troy,NY,4987,50394
University of San Diego,325,0.06,638,52864,highly competitive,NA,1001-1200,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,12,Medium High,NA,NA,NA,NA,NA,NA,5529,NA,San Diego,CA,4326,1406630
University of San Francisco,47,0.11,1419,53472,NA,NA,1001-1200,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,14,Medium High,NA,NA,NA,NA,NA,NA,5852,NA,San Francisco,CA,18581,870887
Dartmouth College,NA,0.12,997,60870,most competitive,201-300,151-200,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,town or rural,M,8,Very High,0,16.6,13.4,26.7,22.2,17.6,4170,NA,Hanover,NH,242,8744
Marquette University,96,NA,367,45766,highly competitive,NA,1001-1200,private,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,M,12,Very High,NA,NA,NA,NA,NA,NA,8024,NA,Milwaukee,WI,6191,595047
California Institute of Technology,23,0.08,692,58680,most competitive,1-20,1-20,private,Four-year (small),National,Doctoral Universities,Exclusive/Majority graduate,city,S,2,Very High,67.5,34.5,57.6,45,100,53.5,901,NA,Pasadena,CA,6185,142059
Southern Methodist University,341,NA,1213,NA,highly competitive,NA,801-1000,private,Four-year (large),NA,Doctoral Universities,Majority undergraduate,suburb,M,10,Very High,NA,NA,NA,NA,NA,NA,NA,NA,Dallas,TX,3870,1317929
Rice University,600,0.12,2278,52895,most competitive,51-100,51-100,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,7,Very High,21.4,35.8,19.7,32.4,38.6,16.1,4076,NA,Houston,TX,3842,2303482
Princeton University,NA,0.12,1912,56010,most competitive,1-20,1-20,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,8,Very High,97.9,44.9,47.1,44.2,73.3,55.8,4773,NA,Princeton,NJ,1710,30872
Rochester Institute of Technology,36,0.05,1586,52756,very competitive plus,NA,1001-1200,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,suburb,L,12,Medium High,NA,NA,NA,NA,NA,NA,13412,NA,Rochester,NY,5838,208880
Baylor University,89,NA,777,50232,highly competitive,NA,1001-1200,private,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,13,Very High,NA,NA,NA,NA,NA,NA,14399,NA,Waco,TX,1511,134432
Brown University,18,0.11,2002,62404,most competitive,101-150,51-100,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,7,Very High,19.7,9.6,20.5,46.1,33,14.4,6792,NA,Providence,RI,9740,179219
Tufts University,8,0.11,1798,63000,most competitive,151-200,201-300,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,suburb,M,8,Very High,16.1,16.6,12.5,35.6,25.1,18.3,6114,NA,Medford,MA,7063,57213
Brigham Young University--Provo,42,0.05,1163,6120,NA,401-500,1001-1200,private,Four-year (large),National,Doctoral Universities,Exclusive/Very high undergraduate,city,XL,21,Very High,0,9.6,8.3,27.5,13.4,8.8,33365,36461,Provo,UT,2805,116868
Carnegie Mellon University,55,0.22,7396,58924,most competitive,51-100,51-100,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,9,Very High,31.2,21.4,12.3,35.6,30.1,31.3,7073,NA,Pittsburgh,PA,5484,303625
University of Notre Dame,NA,0.06,1484,58843,most competitive,201-300,201-300,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,suburb,L,8,Very High,0,16.6,14.5,32.8,20.8,12.4,8874,NA,Notre Dame,IN,6333,6699
Case Western Reserve University,78,0.13,2864,54020,most competitive,101-150,151-200,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,M,7,Very High,10.7,19.2,15.8,40.5,24.7,32.5,5433,NA,Cleveland,OH,4965,385809
University of Rochester,36,0.25,3644,59344,most competitive,151-200,151-200,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,M,5,Very High,7.6,13.5,17.5,39.9,17.9,27.8,6521,NA,Rochester,NY,5838,208880
Georgetown University,61,0.14,3286,59957,most competitive,201-300,201-300,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,L,8,Very High,0,27.1,6,33,23.8,0,7357,NA,Washington,DC,11158,681170
University of Miami,13,0.11,2646,54760,most competitive,201-300,301-400,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,6,Very High,0,16.6,13.6,42,20.7,0,11334,NA,Coral Gables,FL,3933,50815
Boston University,48,0.22,10646,59816,highly competitive plus,51-100,101-150,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,10,Very High,11.4,30.3,24.3,53.1,23.8,11.4,16872,32718,Boston,MA,13943,673184
University of Chicago,228,0.16,4696,60963,most competitive,1-20,1-20,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,L,6,Very High,90.1,35.8,42.5,52,44.2,59.2,6989,NA,Chicago,IL,11883,2704958
Emory University,133,0.17,2264,55468,most competitive,101-150,151-200,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,5,Very High,0,19.2,25.3,54.8,21.8,0,7010,NA,Atlanta,GA,3549,472522
Cornell University,NA,0.1,6692,61015,most competitive,1-20,21-50,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,8,Very High,49.1,46.9,47.3,61.6,43.4,43.1,14743,NA,Ithaca,NY,5958,31710
Massachusetts Institute of Technology,6,0.1,3730,55878,most competitive,1-20,1-20,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,M,4,Very High,83.6,52.5,71.4,64.4,70.3,70.9,4361,NA,Cambridge,MA,17316,110651
University of Southern California,469,0.12,14992,60275,most competitive,51-100,101-150,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,XL,10,Very High,31.3,31.8,20.4,55.1,24.6,0,19606,46287,Los Angeles,CA,8484,3976322
Northwestern University,8,0.1,3846,60984,most competitive,21-50,21-50,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,L,5,Very High,27.6,48.8,33.3,62.2,31.7,15.2,8194,NA,Evanston,IL,9627,74895
Vanderbilt University,475,0.1,2022,56966,most competitive,21-50,201-300,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,3,Very High,28.6,30.3,23,53.4,35.3,15.2,7057,NA,Nashville,TN,1390,660388
Harvard University,6,0.12,5877,55587,most competitive,1-20,1-20,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,L,5,Very High,100,100,100,100,79.6,100,5222,30391,Cambridge,MA,17316,110651
Stanford University,NA,0.11,3879,56169,most competitive,1-20,1-20,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,suburb,L,3,Very High,88.5,76.6,78.6,76.5,56,44.5,6366,NA,Stanford,CA,7600,16200
Johns Hopkins University,81,0.14,6723,58720,most competitive,1-20,21-50,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,L,3,Very High,33.2,37.1,43.4,75.7,28.7,37.3,6331,28890,Baltimore,MD,7594,614664
University of Pennsylvania,134,0.13,6562,61710,most competitive,1-20,1-20,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,L,4,Very High,33.4,46.9,41.7,69.7,39.7,31.3,9872,NA,Philadelphia,PA,11692,1567872
Yale University,19,0.1,2537,59950,most competitive,1-20,1-20,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,M,2,Very High,49.7,44.9,53.4,58.7,35.7,47.1,4703,NA,New Haven,CT,6956,129934
Duke University,107,0.09,3445,60489,most competitive,21-50,51-100,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,L,3,Very High,19,55.9,35.6,63.9,25.5,15.2,6717,NA,Durham,NC,2450,263016
New York University,303,0.24,17050,56500,most competitive,21-50,21-50,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,6,Very High,31.5,25.3,39.5,60.6,20.8,29.6,27444,52775,New York,NY,28211,8537673
Abilene Christian University,107,0.05,NA,NA,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene,TX,1145,122225
Alvernia University,10,0.05,NA,NA,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reading,PA,8864,87575
American Film Institute Conservatory,469,NA,136,NA,NA,NA,NA,private,NA,NA,Special Focus Four-Year,Exclusive/Majority graduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,CA,8484,3976322
Amherst College,NA,0.1,201,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amherst,MA,1422,37819
Andrews University,NA,0.18,NA,31008,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708,NA,Berrien Springs,MI,2081,1816
Aquinas College,44,0.05,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grand Rapids,MI,4424,196445
Augustana College,NA,0.13,NA,NA,highly competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rock Island,IL,2177,36636
Babson College,NA,NA,1084,NA,highly competitive,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wellesley,MA,2980,28747
Bard College,NA,0.12,263,NA,highly competitive plus,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annandale on Hudson,NY,1010,1485
Barnard College,303,0.13,387,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New York,NY,28211,8537673
Bates College,NA,0.09,NA,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lewiston,ME,1087,36617
Baylor College of Medicine,600,NA,247,NA,NA,101-150,NA,private,NA,NA,Special Focus Four-Year,Exclusive/Majority graduate,city,NA,NA,NA,0,23.5,30.1,44.5,19.1,0,NA,NA,Houston,TX,3842,2303482
