university,city_land_area,international_students_natlib,international_students_max,tuition_kaggle,selectivity,world_rank_cat_arwu,world_rank_qs,type1_all,type2_carnegie,type3_natlib,type4_carnegie,enrprofile2021_carnegie,locale_carnegie,size_qs,stu_facl_ratio_qs,research_output_qs,award_arwu,hi_ci_arwu,n_s_arwu,pub_arwu,pcp_arwu,alumni_arwu,enrollment_kaggle,enrollment_top120enrollment,city,state,city_population_density,city_population
University of South Carolina,132,NA,1532,33928,NA,NA,601-800,public,NA,NA,NA,NA,NA,XL,15,Very High,NA,NA,NA,NA,NA,NA,27270,NA,Columbia,SC,1015,137541
University of South Florida,113,0.07,5974,17324,very competitive plus,201-300,501-600,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,18,Very High,0,16.6,9.5,39.2,18.2,0,38579,50626,Tampa,FL,3326,377165
Florida International University,36,0.07,3575,18964,NA,401-500,801-1000,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,suburb,XL,16,Medium High,0,9.6,6.6,32.1,17.3,0,48664,58836,Miami,FL,12645,453579
Florida State University,100,NA,1618,21683,NA,201-300,401-500,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,17,Very High,0,13.5,15.3,39.3,20.2,0,32543,43569,Tallahassee,FL,1904,190894
University of Kentucky,284,NA,1294,31608,NA,301-400,601-800,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,12,Very High,0,0,12.1,41.8,17.7,10.2,22227,29986,Lexington,KY,1123,318449
SUNY Stony Brook University,NA,0.1,6198,28080,NA,NA,301-400,public,NA,National,NA,NA,NA,L,11,Very High,NA,NA,NA,NA,NA,NA,18010,NA,Stony Brook,NY,2310,11785
The University of Georgia,NA,NA,1879,NA,NA,201-300,501-600,public,NA,NA,NA,NA,NA,XL,15,Very High,0,13.5,17.6,44.8,18.3,0,NA,NA,Athens,GA,1115,127358
"University of Missouri, Columbia",63,NA,1273,NA,NA,NA,401-500,public,NA,NA,NA,NA,NA,L,10,Very High,NA,NA,NA,NA,NA,NA,NA,31089,Columbia,MO,1912,120612
Wayne State University,139,NA,1278,32727,NA,401-500,501-600,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,8,Very High,0,9.6,5.4,36.6,15.3,0,17513,NA,Detroit,MI,4849,672795
University of Cincinnati,78,0.05,2800,27472,NA,301-400,601-800,public,NA,National,NA,NA,NA,XL,11,Very High,0,9.6,10.7,41,15.1,0,28657,NA,Cincinnati,OH,3834,298800
Temple University,134,NA,2097,34801,NA,301-400,NA,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,12,Very High,0,9.6,11,37.3,13.3,0,27306,37236,Philadelphia,PA,11692,1567872
Virginia Commonwealth University,60,NA,995,35676,NA,201-300,601-800,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,9,Very High,13.9,16.6,5.7,36.9,15.5,10.2,21943,29070,Richmond,VA,3731,223170
Virginia Polytechnic Institute and State University,NA,NA,4477,NA,highly competitive,201-300,301-400,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,12,Very High,0,9.6,12.2,43.9,18.5,11.4,NA,37024,Blacksburg,VA,2300,44949
University of Iowa,25,NA,2049,31569,NA,151-200,401-500,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,10,Very High,0,19.2,14.8,46.9,17.8,0,22304,30318,Iowa City,IA,2975,74398
Colorado State University,54,NA,1547,31540,NA,201-300,401-500,public,NA,NA,NA,NA,NA,L,8,Very High,0,9.6,16.9,38.9,19.5,0,25186,NA,Fort Collins,CO,3060,168538
University of Utah,111,0.06,2134,31389,NA,101-150,301-400,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,8,Very High,11.4,19.2,24.6,51.6,28.3,0,24643,33081,Salt Lake City,UT,1744,193744
University of Kansas,34,NA,2014,28034,NA,201-300,301-400,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,7,Very High,0,13.5,11.2,41.9,16.3,17.6,19135,NA,Lawrence,KS,2841,95358
