university,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,city.x,state_natlib,international_students_natlib,type3_natlib,city.y,state_opendoors,international_students_opendoors,size_qs,type1_qs,city.x.x,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,international_students_qs,state,selectivity,state_top120enrollment,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,city.y.y,state_carnegie,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
Stony Brook University,NA,301-400,301,96-117,21,0,0,0,38.7,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY,3,NA,NA,NA,NA,Stony Brook,NY,15,17,1,5,21
The University of Texas Health Science Center at San Antonio,NA,301-400,301,96-117,7.7,21.4,0,0,24.4,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Antonio,TX,27,12,1,6,11
University of Vermont,NA,301-400,301,96-117,10.3,9.6,13.4,0,27.7,15.7,121,43890,11136,NA,NA,NA,NA,NA,NA,NA,L,Public,Burlington,NA,651-700,High,1.4849999999999999,8,546,NA,NA,NA,NA,NA,NA,Burlington,VT,16,17,1,4,13
Carnegie Mellon University,26.8,91,91,43,12.3,21.4,31.3,31.2,35.6,30.1,25,58924,7073,Pittsburgh,PA,0.22,National,Pittsburgh,PA,7396,L,Private,Pittsburgh,74.6,53,Very High,1534,9,5739,PA,1,NA,NA,NA,NA,Pittsburgh,PA,15,17,2,5,11
Boston College,NA,301-400,301,96-117,16.8,13.5,0,0,23.5,17.8,36,61706,9445,NA,NA,NA,NA,NA,NA,NA,L,Private,Newton,24.1,494,Very High,1.048,13,1.4709999999999999,MA,1,NA,NA,NA,NA,Chestnut Hill,MA,15,17,2,5,13
Princeton University,61,6,6,5,47.1,44.9,55.8,97.9,44.2,73.3,1,56010,4773,Princeton,NJ,0.12,National,NA,NA,NA,M,Private,Princeton,88.6,20,Very High,1050,8,1912,NJ,1,NA,NA,NA,NA,Princeton,NJ,15,14,2,5,13
University of Pennsylvania,46.4,16,16,14,41.7,46.9,31.3,33.4,69.7,39.7,8,61710,9872,Philadelphia,PA,0.13,National,Philadelphia,PA,6562,L,Private,Philadelphia,90.7,13,Very High,5154,4,4636,PA,1,NA,NA,NA,NA,Philadelphia,PA,15,17,2,6,11
University of Southern California,30.8,60,60,33,20.4,31.8,0,31.3,55.1,24.6,27,60275,19606,Los Angeles,CA,0.12,National,Los Angeles,CA,14992,XL,Private,Los Angeles,57,112,Very High,3116,10,9107,CA,1,CA,PrivNp,4-year,46287,Los Angeles,CA,15,16,2,6,11
Johns Hopkins University,45.4,18,18,15,43.4,37.1,37.3,33.2,75.7,28.7,11,58720,6331,Baltimore,MD,0.14,National,Baltimore,MD,6723,L,Private,Baltimore,85.9,25,Very High,4855,3,5070,MD,1,MD,PrivNp,4-year,28890,Baltimore,MD,15,16,2,6,11
Baylor College of Medicine,NA,101-150,101,47-58,30.1,23.5,0,0,44.5,19.1,NA,NA,NA,NA,NA,NA,NA,Houston,TX,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Houston,TX,27,18,2,7,11
University of Iowa,NA,151-200,151,59-69,14.8,19.2,0,0,46.9,17.8,92,31569,22304,NA,NA,NA,NA,NA,NA,NA,L,Public,Iowa City,25.7,455,Very High,2.924,10,2.049,NA,NA,IA,Public,4-year,30318,Iowa City,IA,15,16,1,4,13
The University of Texas Medical Branch at Galveston,NA,401-500,401,118-139,10.1,9.6,0,0,23.7,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galveston,TX,27,10,1,6,31
New York University,37.2,32,32,24,39.5,25.3,29.6,31.5,60.6,20.8,28,56500,27444,New York,NY,0.24,National,New York,NY,17050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY,1,NY,PrivNp,4-year,52775,New York,NY,15,16,2,5,11
Dartmouth College,NA,201-300,201,70-95,13.4,16.6,17.6,0,26.7,22.2,13,60870,4170,Hanover,NH,0.12,National,NA,NA,NA,M,Private,Hanover,45.1,191,Very High,836,8,997,NH,1,NA,NA,NA,NA,Hanover,NH,15,14,2,5,33
University of Alabama at Birmingham,NA,201-300,201,70-95,9.2,16.6,0,0,43.4,15.9,158,25380,13878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Birmingham,AL,15,15,1,5,12
Thomas Jefferson University,NA,401-500,401,118-139,4.5,9.6,0,0,28.4,28.4,156,41715,3783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philadelphia,PA,16,14,2,5,11
