university,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,city.x,state_natlib,international_students_natlib,type3_natlib,city.y,state_opendoors,international_students_opendoors,size_qs,type1_qs,city.x.x,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,international_students_qs,state,selectivity,state_top120enrollment,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,city.y.y,state_carnegie,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
Walsh University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North Canton,OH,0.08,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North Canton,OH,17,11,2,4,21
Briar Cliff University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sioux City,IA,0.07,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sioux City,IA,17,8,2,4,13
Oakland City University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oakland City,IN,0.07,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oakland City,IN,17,8,2,4,32
The Ohio State University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Columbus,OH,0.07,National,NA,NA,NA,XL,Public,Columbus,56,120,Very High,6388,9,7029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco State University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Francisco,CA,0.07,National,San Francisco,CA,1260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Francisco,CA,16,15,1,4,11
California State University--Long Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Long Beach,CA,0.06,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of California, Merced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Merced,CA,0.06,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abilene Christian University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene,TX,0.05,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene,TX,17,14,2,4,12
Alvernia University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reading,PA,0.05,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reading,PA,17,11,2,4,13
California State University--San Bernardino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Bernardino,CA,0.05,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Nebraska -- Lincoln,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lincoln,NE,0.05,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Nebraska Omaha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Omaha,NE,0.05,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
