City,State,Population Density (Persons/Square Mile),2016 Population,Land Area (Square Miles)
Mount Prospect,IL,"5,239","54,171",10
Cathedral City,CA,"2,514","54,056",22
Watsonville,CA,"8,041","53,796",7
Pensacola,FL,"2,386","53,779",23
Palm Beach Gardens,FL,976,"53,778",55
Lake Havasu City,AZ,"1,210","53,743",44
Elyria,OH,"2,611","53,715",21
Bellevue,NE,"3,376","53,505",16
Wheaton,IL,"4,746","53,389",11
West New York,NJ,"52,815","53,343",1
Yucaipa,CA,"1,911","53,309",28
Southaven,MS,"1,290","53,214",41
Albany,OR,"3,034","53,211",18
Revere,MA,"9,342","53,157",6
Caldwell,ID,"2,409","53,149",22
Harrisonburg,VA,"3,047","53,078",17
West Sacramento,CA,"2,472","52,981",21
Lenexa,KS,"1,551","52,903",34
Kingsport,TN,"1,060","52,806",50
Burlington,NC,"2,094","52,709",25
Delano,CA,"3,686","52,707",14
Leesburg,VA,"4,246","52,607",12
DeSoto,TX,"2,433","52,599",22
Milford,CT,"2,399","52,536",22
Perth Amboy,NJ,"11,170","52,499",5
Peabody,MA,"3,238","52,491",16
Minnetonka,MN,"1,945","52,369",27
Palm Desert,CA,"1,948","52,231",27
Placentia,CA,"7,949","52,228",7
Elkhart,IN,"2,227","52,221",23
Joplin,MO,"1,468","52,195",36
Pinellas Park,FL,"3,362","52,137",16
La Crosse,WI,"2,539","52,109",21
Grapevine,TX,"1,628","51,971",32
Apple Valley,MN,"3,082","51,957",17
Tigard,OR,"4,395","51,902",12
Glendora,CA,"2,674","51,851",19
Florissant,MO,"4,122","51,776",13
Oak Park,IL,"11,016","51,774",5
Hoffman Estates,IL,"2,487","51,738",21
Kentwood,MI,"2,473","51,689",21
Battle Creek,MI,"1,209","51,534",43
Grand Island,NE,"1,813","51,517",28
Aliso Viejo,CA,"6,884","51,424",7
Edina,MN,"3,324","51,350",15
Olympia,WA,"2,873","51,202",18
Parker,CO,"2,498","51,163",20
Enid,OK,692,"51,004",74
Burien,WA,"6,873","50,997",7
Coral Gables,FL,"3,933","50,815",13
Logan,UT,"2,825","50,676",18
Plainfield,NJ,"8,411","50,636",6
Cerritos,CA,"5,791","50,555",9
Galveston,TX,"1,226","50,550",41
Coeur d'Alene,ID,"3,230","50,285",16
Lakewood,OH,"9,092","50,279",6
Poway,CA,"1,281","50,077",39
