university,city,state,city_population_density,city_population,city_land_area,international_students_natlib,international_students_max,international_students_qs,international_students_opendoors,tuition_kaggle,selectivity,world_rank_cat_arwu,world_rank_arwu,world_rank_qs,national_rank_arwu,national_rank_kaggle,type1_all,type2_carnegie,type3_natlib,type4_carnegie,enrprofile2021_carnegie,locale_carnegie,size_qs,faculty_count_qs,stu_facl_ratio_qs,research_output_qs,award_arwu,hi_ci_arwu,n_s_arwu,pub_arwu,pcp_arwu,alumni_arwu,enrollment_kaggle,enrollment_top120enrollment,total_score_arwu,score_qs
Florida Atlantic University - Boca Raton,Boca Raton,NA,NA,NA,NA,NA,998,998,NA,NA,NA,NA,NA,1001-1200,NA,NA,public,NA,NA,NA,NA,NA,L,1139,19,Medium High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Michigan University,Kalamazoo,MI,3079,75984,25,0.06,1664,1664,NA,17591,NA,NA,NA,1001-1200,NA,276,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,1144,16,Medium High,NA,NA,NA,NA,NA,NA,16554,NA,NA,NA
Northern Arizona University,Flagstaff,AZ,1119,71459,64,NA,1162,1162,NA,26642,NA,NA,NA,1001-1200,NA,293,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,1158,22,Medium High,NA,NA,NA,NA,NA,NA,25230,29566,NA,NA
Ohio University,Athens,NA,NA,NA,NA,NA,977,977,NA,22810,NA,NA,NA,1001-1200,NA,181,public,NA,NA,NA,NA,NA,L,1169,20,Medium High,NA,NA,NA,NA,NA,NA,18913,NA,NA,NA
University of Texas at San Antonio,San Antonio,NA,NA,NA,NA,NA,775,775,NA,25920,NA,NA,NA,801-1000,NA,375,public,NA,NA,NA,NA,NA,L,1182,22,Very High,NA,NA,NA,NA,NA,NA,29959,NA,NA,NA
Kent State University,Kent,NA,NA,NA,NA,NA,1465,1465,NA,20800,NA,401-500,401,1001-1200,118-139,216,public,NA,NA,NA,NA,NA,L,1252,19,Very High,0,13.5,9.3,24,15.6,0,21621,NA,NA,NA
San Diego State University,San Diego,CA,4326,1406630,325,0.05,2092,2092,NA,20016,NA,NA,NA,1001-1200,NA,155,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,1262,25,Very High,NA,NA,NA,NA,NA,NA,31086,36334,NA,NA
Georgia Institute of Technology,Atlanta,GA,3549,472522,133,0.11,5675,5675,5657,33794,NA,51-100,79,51-100,38,38,public,NA,National,NA,NA,NA,L,1267,19,Very High,0,38.3,24.6,46.6,38,12.4,16561,NA,27.5,63.5
University of North Carolina at Charlotte,Charlotte,NC,2829,842051,298,NA,1661,1661,NA,NA,NA,NA,NA,1001-1200,NA,NA,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,1303,19,Very High,NA,NA,NA,NA,NA,NA,NA,30146,NA,NA
University of Wisconsin Milwaukee,Milwaukee,NA,NA,NA,NA,NA,1067,1067,NA,NA,NA,NA,NA,801-1000,NA,NA,public,NA,NA,NA,NA,NA,L,1336,16,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Arkansas Fayetteville,Fayetteville,NA,NA,NA,NA,NA,1134,1134,NA,NA,NA,NA,NA,1001-1200,NA,NA,public,NA,NA,NA,NA,NA,L,1364,18,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of North Texas,Denton,TX,1521,133808,88,0.05,2420,2420,NA,24234,NA,301-400,301,1001-1200,96-117,287,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,1395,23,Medium High,0,19.2,4.6,27.8,19,0,32694,40953,NA,NA
The University of Texas at Arlington,Arlington,TX,4096,392772,96,NA,4106,4106,NA,NA,NA,NA,NA,1001-1200,NA,NA,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,1481,22,Very High,NA,NA,NA,NA,NA,NA,NA,48072,NA,NA
"University of California, Santa Barbara",Santa Barbara,CA,4722,91930,19,0.11,4309,4309,NA,NA,NA,21-50,46,101-150,29,NA,public,NA,National,NA,NA,NA,L,1597,16,Very High,38.6,30.3,28.7,40.1,37.5,14.4,NA,NA,33.4,51.2
West Virginia University,Morgantown,WV,NA,NA,NA,NA,1807,1807,NA,25320,NA,401-500,401,801-1000,118-139,262,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,1605,15,Very High,0,9.6,8,31.5,11.9,0,21086,NA,NA,NA
"The University of Tennessee, Knoxville",Knoxville,TN,1890,186239,99,NA,1156,1156,NA,NA,NA,NA,NA,501-600,NA,NA,public,NA,NA,NA,NA,NA,XL,1700,17,Medium High,NA,NA,NA,NA,NA,NA,NA,30559,NA,NA
University of Massachusetts Amherst,Amherst,MA,NA,NA,NA,0.07,3696,3696,NA,36964,NA,151-200,151,201-300,59-69,72,public,NA,National,NA,NA,NA,L,1852,14,Very High,0,25.3,15.7,38.5,23.2,13.4,24233,NA,NA,38.8
North Carolina State University,Raleigh,NC,3211,458880,143,NA,5008,3156,5008,29916,NA,NA,NA,201-300,NA,82,public,NA,NA,NA,NA,NA,L,1944,15,Very High,NA,NA,NA,NA,NA,NA,26150,NA,NA,34.7
Purdue University,West Lafayette,IN,NA,NA,NA,0.11,10500,8034,10500,28794,NA,51-100,70,101-150,34,53,public,NA,National,NA,NA,NA,XL,2622,15,Very High,22.8,19.2,23.1,53.2,23.7,13.4,34920,NA,27.9,56.9
University of Virginia,Charlottesville,NA,NA,NA,NA,NA,2201,2201,NA,53666,NA,151-200,151,201-300,59-69,26,public,NA,NA,NA,NA,NA,L,2731,8,Very High,0,19.2,24.6,46.1,19.1,0,17311,NA,NA,40.3
University of Illinois at Urbana-Champaign,Champaign,IL,3863,86637,22,0.13,12838,9987,12838,NA,highly competitive plus,21-50,41,51-100,28,NA,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,2748,17,Very High,35.8,19.2,31.8,57.8,28,29.6,NA,NA,35.4,65.2
University of California - Irvine,Irvine,CA,4025,266122,66,0.15,9323,9323,7766,NA,NA,51-100,83,201-300,40,NA,public,NA,National,NA,NA,NA,XL,2775,13,Very High,28.9,21.4,22.7,47.6,24.8,0,NA,36303,27.2,40
University of Washington,Seattle,WA,8391,704352,84,0.14,8777,7362,8777,39906,NA,1-20,14,51-100,12,62,public,NA,National,NA,NA,NA,XL,2796,15,Very High,37.4,54.2,49.1,75.9,31.4,24.9,35582,NA,50,65
University of Illinois at Chicago,Chicago,IL,11883,2704958,228,0.07,4926,3425,4926,31787,NA,NA,NA,201-300,NA,113,public,NA,National,NA,NA,NA,L,2808,10,Very High,NA,NA,NA,NA,NA,NA,21921,NA,NA,35.6
Arizona State University,Tempe,AZ,4570,182498,40,0.06,13015,8430,13015,29438,NA,101-150,101,201-300,47-58,117,public,NA,National,NA,NA,NA,XL,2869,17,Very High,19.7,16.6,21.9,47.1,22.9,0,63124,NA,NA,41.8
University of Texas - Austin,Austin,TX,3182,947890,298,NA,5473,4953,5473,40032,NA,NA,NA,51-100,NA,40,public,NA,NA,NA,NA,NA,XL,2887,17,Very High,NA,NA,NA,NA,NA,NA,40048,NA,NA,68.4
University of Colorado Boulder,Boulder,CO,4383,108090,25,NA,2441,2441,NA,38312,NA,NA,NA,201-300,NA,100,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,2946,11,Very High,NA,NA,NA,NA,NA,NA,30300,37437,NA,38.5
Michigan State University,East Lansing,MI,NA,NA,NA,0.06,5795,5795,5280,39766,NA,101-150,101,151-200,47-58,88,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,3008,15,Very High,0,21.4,22,54.8,19.3,8.8,38491,49695,NA,49.7
Texas A&M University,College Station,TX,2268,112141,49,NA,6621,6621,6511,40087,NA,151-200,151,151-200,59-69,71,public,NA,NA,NA,NA,NA,XL,3049,21,Very High,0,21.4,16.6,55.1,18.7,0,55568,NA,NA,47.6
University of California - Davis,Davis,CA,6887,68111,10,0.16,8414,8414,7422,NA,NA,51-100,96,101-150,45,NA,public,NA,National,NA,NA,NA,XL,3420,10,Very High,0,25.3,30.5,59.3,23.6,0,NA,39074,25.9,57.9
University of California - Berkeley,Berkeley,CA,11580,121240,10,0.13,9428,9428,9184,NA,NA,1-20,5,21-50,4,NA,public,NA,National,NA,NA,NA,XL,3701,11,Very High,78.4,61.3,67.8,65.1,58.2,65.6,NA,42327,68.3,82.5
University of Maryland - College Park,College Park,MD,NA,NA,NA,NA,5662,4659,5662,NA,NA,51-100,51,151-200,32,NA,public,NA,NA,NA,NA,NA,XL,3798,10,Very High,19.7,25.3,33.5,55.3,29.3,19,NA,40709,32.3,49.5
Indiana University - Bloomington,Bloomington,IN,3647,84465,23,0.05,5175,3722,5175,38354,very competitive plus,101-150,101,301-400,47-58,69,public,NA,National,NA,NA,NA,XL,3837,11,Very High,21.3,13.5,18.6,40.3,19.4,10.2,32986,NA,NA,33.7
